Date, CostBasis
2013-10-10,1602.0
2013-12-19,3204.0
2014-02-27,4806.0
2014-05-08,6408.0
2014-07-17,8010.0
2014-09-25,9612.0
2014-10-10,11627.6
2014-12-04,13229.6
2015-02-12,14831.6
2015-04-23,16433.6
2015-07-02,18035.6
2015-09-10,19637.6
2015-10-01,221659.80202020204
2015-11-10,423682.0040404041
2015-11-19,425284.0040404041
2015-12-20,627306.2060606062
2016-01-28,628908.2060606062
2016-01-29,830930.4080808082
2016-03-09,1032952.6101010103
2016-04-07,1034554.6101010103
2016-04-18,1236576.8121212122
2016-05-28,1438599.014141414
2016-06-16,1440201.014141414
2016-07-07,1642223.2161616161
2016-08-16,1844245.418181818
2016-08-25,1845847.418181818
2016-09-25,2047869.6202020198
2016-11-03,2049471.6202020198
2016-11-04,2251493.8222222216
2016-12-14,2453516.0242424235
2017-01-12,2455118.0242424235
2017-01-23,2657140.2262626253
2017-03-04,2859162.428282827
2017-03-23,2860764.428282827
2017-04-13,3062786.630303029
2017-05-23,3264808.832323231
2017-06-01,3266410.832323231
2017-07-02,3468433.0343434326
2017-08-10,3470035.0343434326
2017-08-11,3672057.2363636345
2017-09-20,3874079.4383838363
2017-10-10,3875223.788383836
2017-10-19,3876825.788383836
2017-10-30,4078847.9904040378
2017-12-09,4280870.19242424
2017-12-28,4282472.19242424
2018-01-18,4484494.394444441
2018-02-27,4686516.596464643
2018-03-08,4688118.596464643
2018-04-08,4890140.798484845
2018-05-17,4891742.798484845
2018-05-18,5093765.000505047
2018-06-27,5295787.202525249
2018-07-26,5297389.202525249
2018-08-06,5499411.404545451
2018-09-15,5701433.606565652
2018-10-04,5703035.606565652
2018-10-25,5905057.808585854
2018-12-04,6107080.010606056
2018-12-13,6108682.010606056
2019-01-13,6310704.212626258
2019-02-21,6312306.212626258
2019-02-22,6514328.41464646
2019-04-03,6716350.616666662
2019-05-02,6717952.616666662
2019-05-13,6919974.818686863
2019-06-22,7121997.020707065
2019-07-11,7123599.020707065
2019-08-01,7325621.222727267
2019-09-10,7527643.424747469
2019-09-19,7529245.424747469
2019-10-20,7731267.626767671
2019-11-28,7732869.626767671
2019-11-29,7934891.828787873
2020-01-08,8136914.030808074
2020-02-06,8138516.030808074
2020-02-17,8340538.232828276
2020-03-28,8542560.434848478
2020-04-16,8544162.434848478
2020-05-07,8746184.636868682
2020-06-16,8948206.838888885
2020-06-25,8949808.838888885
2020-07-04,8950594.518888887
2020-07-26,9152616.72090909
2020-09-03,9154218.72090909
2020-09-04,9356240.922929294
2020-10-10,9634563.602778638
2020-10-13,9638563.602778638
2020-10-14,9840585.804798841
2020-10-16,9844585.804798841
2020-10-19,9848585.804798841
2020-10-22,9852585.804798841
2020-10-25,9856585.804798841
2020-10-28,9860585.804798841
2020-10-31,9864585.804798841
2020-11-03,9868585.804798841
2020-11-06,9872585.804798841
2020-11-09,9876585.804798841
2020-11-12,9882187.804798841
2020-11-15,9886187.804798841
2020-11-18,9890187.804798841
2020-11-21,9894187.804798841
2020-11-23,1.0096210006819045E7
2020-11-24,1.0100210006819045E7
2020-11-27,1.0104210006819045E7
2020-11-30,1.0108210006819045E7
2020-12-03,1.0112210006819045E7
2020-12-06,1.0116210006819045E7
2020-12-09,1.0120210006819045E7
